ชื่อสินค้า,SKU,ราคา,ค่าส่ง,ราคารวมส่ง,,,
,,,,โอน,ปลายทาง,,หมายเหตุ
ครีมซองกลูต้า 1 กล่อง,กD,390,ส่งฟรี,-,-,,- ซื้อสินค้าตั้งแต่ 290 บาทขึ้นไป จัดส่งฟรี
ครีมซองไฮยา  1 กล่อง,กH,390,ส่งฟรี,-,-,,
ครีมซองไฮยา+ครีมซองกลูต้า,กDH,780,ส่งฟรี,-,-,,
ครีมซองกลูต้า 1 ซอง,ซD,79,โอน 25 ปลายทาง 35,104,114,,
ครีมซองกลูต้า 2 ซอง,ซD2,158,โอน 25 ปลายทาง 35,183,193,,
ครีมซองกลูต้า 3 ซอง,ซD3,199,ส่งฟรี,-,-,,
ครีมซองกลูต้า+ครีมซองไฮยา,ซDH,158,โอน 25 ปลายทาง 35,183,193,,
ครีมซองไฮยา 1 ซอง,ซH,158,โอน 25 ปลายทาง 35,183,193,,
ครีมซองไฮยา 2 ซอง,ซH2,199,ส่งฟรี,-,-,,
ครีมซองไฮยา 3 ซอง,ซH3,158,โอน 25 ปลายทาง 35,183,193,,
คอลลาเจน 30ซอง กล่องใหญ่ 1 กล่อง,A1,339,ส่งฟรี,-,-,,
คอลลาเจน 30ซอง กล่องใหญ่ 2 กล่อง,A2,669,ส่งฟรี,-,-,,
คอลลาเจน 30ซอง กล่องใหญ่ 3 กล่อง,A3,899,ส่งฟรี,-,-,,
สบู่ไฮยา 1 ก้อน,B1,79,โอน 25 ปลายทาง 35,104,114,,
สบู่ไฮยา 2 ก้อน,B2,155,โอน 25 ปลายทาง 35,180,190,,
สบู่ไฮยา 3 ก้อน,B3,229,ส่งฟรี,-,-,,
สบู่ไฮยา + ครีมซองกลูต้า,BซD,158,โอน 25 ปลายทาง 35,183,193,,
สบู่ไฮยา + ครีมซองไฮยา,BซH,158,โอน 25 ปลายทาง 35,183,193,,
ครีมลดสิว 1 กระปุก,C,290,ส่งฟรี,-,-,,
Exogenเล็ก 3+ครีมลดสิว,E=3C,490,ส่งฟรี,-,-,,
Exogenเล็ก +Hya เล็ก 3+สบู่+ครีมลดสิว+ทรานเอ็กวัน,E=3Y=3BCT,909,ส่งฟรี,-,-,,
Exogen ขวดเล็ก  1,E1,229,โอน 25 ปลายทาง 35,254,264,,
Exogen เซต 3 ขวด ,E3,390,ส่งฟรี,-,-,,
Exogen เซต+Hya เซต+สบู่ ,E3Y3B,590,ส่งฟรี,-,-,,
Exogen ขวดเล็ก+Hya ขวดเล็ก,EY,339,ส่งฟรี,-,-,,
Exogen ขวดเล็ก+Hya ขวดเล็ก+สบู่+ครีมลดสิว+ทรานเอ็กวัน,EYBCT,599,ส่งฟรี,-,-,,
คอลลาเจน 1กล่อง,G1,159,โอน 25 ปลายทาง 35,184,194,,
คอลลาเจน 2 กล่อง,G2,298,ส่งฟรี,-,-,,
คอลลาเจน 3 กล่อง,G3,359,ส่งฟรี,-,-,,
คอลลาเจน 3 กล่อง+กลูต้า 3 กล่อง,G3X3,718,ส่งฟรี,-,-,,
คอลลาเจน +กลูต้า,GX,298,ส่งฟรี,-,-,,
บอดี้เซรั่ม 1 ขวด,L1,199,โอน 25 ปลายทาง 35,224,234,,
บอดี้เซรั่ม 2  ขวด,L2,299,ส่งฟรี,-,-,,
แ 1  ซอง,M1,79,โอน 25 ปลายทาง 35,104,114,,
ครีมกันแดด 2   ซอง,M2,158,โอน 25 ปลายทาง 35,183,193,,
ครีมกันแดด 3  ซอง,M3,199,ส่งฟรี,-,-,,
ครีมกันแดด 1  ซอง+ครีมซองกลูต้า,MซD,158,โอน 25 ปลายทาง 35,184,194,,
ครีมกันแดด 1  ซอง+ครีมซองกลูต้า+ครีมซองไฮยา,MซDH,199,โอน 25 ปลายทาง 35,224,199,,
ครีมกันแดด 1  ซอง+ ครีมซองไฮยา,MซH,158,โอน 25 ปลายทาง 35,184,35,,
ครีมทรานเอ็กวัน 1 หลอด,T,290,ส่งฟรี,-,-,,
แก๊ปกลูต้า 1 กล่อง,X1,159,โอน 25 ปลายทาง 35,184,194,,
แก๊ปกลูต้า 2  กล่อง,X2,298,ส่งฟรี,-,-,,
แก๊ปกลูต้า 3 กล่อง,X3,359,ส่งฟรี,-,-,,
Hya ขวดเล็ก 3ขวด + ทรานเอ็กวัน,Y=3T,490,ส่งฟรี,-,-,,
Hya ขวดเล็ก 1 ขวด,Y1,229,โอน 25 ปลายทาง 35,254,264,,
Hya เซต 3 ขวด,Y3,390,ส่งฟรี,-,-,,
ผงผัก 1 กล่อง,V1,190,โอน 25 ปลายทาง 35,215,225,,
ผงผัก 2 กล่อง,V2,298,ส่งฟรี,-,-,,
ผงผัก 3 กล่อง,V3,3920,ส่งฟรี,-,-,,
ผงผักแบบซอง 1 ซอง,ซV1,39,โอน 25 ปลายทาง 35,64,74,,
ผงผักแบบซอง 3  ซอง,ซV3,100,โอน 25 ปลายทาง 35,125,135,,
